ID,Cámara,Tipo,Timestamp,Descripción,Status,Usuario Identificado,EvidencePath
1,Cámara 1,Falta EPP,2025-10-16 19:10:17,Falta equipo de protección,open,,c:\Users\kenka\Downloads\SAFEBUILD20251016\captures\Cámara_1_20251016_191017.jpg
6,Cámara 1,Intrusión,2025-10-16 19:49:48,Intrusión detectada,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251016\captures\Cámara_1_20251016_194948.jpg
16,Cámara 1,Intrusión,2025-10-20 14:59:32,Intrusión detectada,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251016\captures\Cámara_1_20251020_145932.jpg
26,Cámara 1,Falta Chaleco,2025-10-20 15:21:12,Falta chaleco reflectivo - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251016\captures\Cámara_1_20251020_152108.jpg
27,Cámara 1,Falta Chaleco,2025-10-24 14:42:39,Falta chaleco reflectivo - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251022\captures\Cámara_1_20251024_144235.jpg
29,Cámara 1,Falta Casco,2025-10-24 15:17:11,Falta casco de protección - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251022\captures\Cámara_1_20251024_151707.jpg
31,Cámara 1,Falta Casco,2025-10-24 16:18:52,Falta casco de protección - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251022\captures\Cámara_1_20251024_161848.jpg
33,Cámara 1,Falta Casco,2025-10-25 16:22:46,Falta casco de protección - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251025\captures\Cámara_1_20251025_162242.jpg
34,Cámara 1,Falta Casco,2025-10-25 17:40:57,Falta casco de protección - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251025\captures\Cámara_1_20251025_174053.jpg
35,Cámara 1,Falta Casco,2025-10-26 01:55:14,Falta casco de protección - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_015510.jpg
38,Cámara 1,Falta Chaleco,2025-10-26 01:58:36,Falta chaleco reflectivo - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_015832.jpg
41,Cámara 1,Falta Casco,2025-10-26 01:59:12,Falta casco de protección - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_015908.jpg
43,Cámara 1,Falta Chaleco,2025-10-26 02:05:17,Falta chaleco reflectivo - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_020513.jpg
44,Cámara 1,Falta Casco,2025-10-26 02:05:27,Falta casco de protección - Usuario: unknown,open,unknown,c:\Users\kenka\Downloads\SAFEBUILD20251026\captures\Cámara_1_20251026_020523.jpg
